#time, dark_ADC, dark_V, active_ADC, active_V, temp_ADC, temp_F, batt_ADC, batt_V, diff_ADC, diff_V
2022-04-04 18:16:47, 9, 0.007, 56, 0.045, 784, 63.2, 3277, 2.641, 47, 0.038
2022-04-04 18:16:48, 4, 0.003, 54, 0.044, 784, 63.2, 3313, 2.670, 50, 0.040
2022-04-04 18:16:49, 203, 0.164, 389, 0.313, 784, 63.2, 3312, 2.669, 186, 0.150
2022-04-04 18:16:50, 177, 0.143, 305, 0.246, 782, 63.0, 3311, 2.668, 128, 0.103
2022-04-04 18:16:51, 150, 0.121, 272, 0.219, 782, 63.0, 3306, 2.664, 122, 0.098
2022-04-04 18:16:52, 208, 0.168, 321, 0.259, 783, 63.1, 2907, 2.343, 113, 0.091
2022-04-04 18:16:53, 49, 0.039, 176, 0.142, 780, 62.9, 3297, 2.657, 127, 0.102
2022-04-04 18:16:54, 55, 0.044, 76, 0.061, 782, 63.0, 3299, 2.659, 21, 0.017
2022-04-04 18:16:55, 0, 0.000, 421, 0.339, 784, 63.2, 3305, 2.663, 421, 0.339
2022-04-04 18:16:56, 0, 0.000, 361, 0.291, 784, 63.2, 3269, 2.634, 361, 0.291
2022-04-04 18:16:57, 75, 0.060, 202, 0.163, 783, 63.1, 3294, 2.655, 127, 0.102
2022-04-04 18:16:58, 85, 0.068, 176, 0.142, 782, 63.0, 3294, 2.655, 91, 0.073
2022-04-04 18:16:59, 93, 0.075, 174, 0.140, 779, 62.8, 3285, 2.647, 81, 0.065
2022-04-04 18:17:00, 86, 0.069, 144, 0.116, 770, 62.1, 3402, 2.742, 58, 0.047
2022-04-04 18:17:01, 93, 0.075, 145, 0.117, 784, 63.2, 3307, 2.665, 52, 0.042
2022-04-04 18:17:02, 104, 0.084, 144, 0.116, 771, 62.1, 3342, 2.693, 40, 0.032
2022-04-04 18:17:03, 89, 0.072, 158, 0.127, 782, 63.0, 3303, 2.662, 69, 0.056
2022-04-04 18:17:04, 86, 0.069, 133, 0.107, 764, 61.6, 3283, 2.646, 47, 0.038
2022-04-04 18:17:05, 91, 0.073, 145, 0.117, 781, 62.9, 3299, 2.659, 54, 0.044
2022-04-04 18:17:06, 59, 0.048, 164, 0.132, 771, 62.1, 3408, 2.746, 105, 0.085
2022-04-04 18:17:07, 74, 0.060, 160, 0.129, 782, 63.0, 3299, 2.659, 86, 0.069
2022-04-04 18:17:08, 80, 0.064, 969, 0.781, 780, 62.9, 3301, 2.660, 889, 0.716
2022-04-04 18:17:09, 49, 0.039, 61, 0.049, 781, 62.9, 3295, 2.655, 12, 0.010
2022-04-04 18:17:10, 0, 0.000, 672, 0.542, 781, 62.9, 3297, 2.657, 672, 0.542
2022-04-04 18:17:11, 0, 0.000, 835, 0.673, 779, 62.8, 3295, 2.655, 835, 0.673
2022-04-04 18:17:12, 0, 0.000, 711, 0.573, 783, 63.1, 3296, 2.656, 711, 0.573
2022-04-04 18:17:13, 0, 0.000, 714, 0.575, 781, 62.9, 3290, 2.651, 714, 0.575
2022-04-04 18:17:14, 0, 0.000, 650, 0.524, 778, 62.7, 3293, 2.654, 650, 0.524
2022-04-04 18:17:15, 0, 0.000, 675, 0.544, 782, 63.0, 3229, 2.602, 675, 0.544
2022-04-04 18:17:16, 0, 0.000, 235, 0.189, 782, 63.0, 3292, 2.653, 235, 0.189
2022-04-04 18:17:17, 0, 0.000, 29, 0.023, 782, 63.0, 3287, 2.649, 29, 0.023
2022-04-04 18:17:18, 14, 0.011, 208, 0.168, 783, 63.1, 3290, 2.651, 194, 0.156
2022-04-04 18:17:19, 0, 0.000, 622, 0.501, 779, 62.8, 3290, 2.651, 622, 0.501
2022-04-04 18:17:20, 0, 0.000, 528, 0.425, 782, 63.0, 3289, 2.650, 528, 0.425
2022-04-04 18:17:21, 0, 0.000, 490, 0.395, 780, 62.9, 3290, 2.651, 490, 0.395
2022-04-04 18:17:22, 0, 0.000, 390, 0.314, 784, 63.2, 3290, 2.651, 390, 0.314
2022-04-04 18:17:23, 0, 0.000, 54, 0.044, 782, 63.0, 3286, 2.648, 54, 0.044
2022-04-04 18:17:24, 0, 0.000, 171, 0.138, 782, 63.0, 3281, 2.644, 171, 0.138
2022-04-04 18:17:25, 29, 0.023, 59, 0.048, 782, 63.0, 3283, 2.646, 30, 0.024
2022-04-04 18:17:26, 0, 0.000, 1957, 1.577, 781, 62.9, 2903, 2.339, 1957, 1.577
2022-04-04 18:17:27, 15, 0.012, 29, 0.023, 783, 63.1, 3287, 2.649, 14, 0.011
2022-04-04 18:17:28, 76, 0.061, 162, 0.131, 781, 62.9, 3285, 2.647, 86, 0.069
2022-04-04 18:17:29, 133, 0.107, 176, 0.142, 782, 63.0, 3287, 2.649, 43, 0.035
2022-04-04 18:17:30, 0, 0.000, 3958, 3.190, 781, 62.9, 3281, 2.644, 3958, 3.190
2022-04-04 18:17:31, 0, 0.000, 3472, 2.798, 781, 62.9, 3283, 2.646, 3472, 2.798
2022-04-04 18:17:32, 0, 0.000, 3966, 3.196, 781, 62.9, 3280, 2.643, 3966, 3.196
2022-04-04 18:17:33, 0, 0.000, 3699, 2.981, 783, 63.1, 3283, 2.646, 3699, 2.981
2022-04-04 18:17:34, 0, 0.000, 3738, 3.012, 782, 63.0, 3281, 2.644, 3738, 3.012
2022-04-04 18:17:35, 0, 0.000, 3735, 3.010, 781, 62.9, 3280, 2.643, 3735, 3.010
2022-04-04 18:17:36, 0, 0.000, 3978, 3.206, 781, 62.9, 3280, 2.643, 3978, 3.206
2022-04-04 18:17:37, 0, 0.000, 3844, 3.098, 779, 62.8, 3280, 2.643, 3844, 3.098
2022-04-04 18:17:38, 0, 0.000, 3846, 3.099, 782, 63.0, 3279, 2.642, 3846, 3.099
2022-04-04 18:17:39, 0, 0.000, 3856, 3.107, 781, 62.9, 2891, 2.330, 3856, 3.107
2022-04-04 18:17:40, 0, 0.000, 3103, 2.501, 781, 62.9, 3280, 2.643, 3103, 2.501
2022-04-04 18:17:41, 0, 0.000, 1445, 1.164, 781, 62.9, 3280, 2.643, 1445, 1.164
2022-04-06 13:13:08, 0, 0.000, 4021, 3.240, 724, 58.3, 3374, 2.719, 4021, 3.240, 3454.978, *
2022-04-06 13:13:13, 0, 0.000, 4015, 3.236, 726, 58.5, 3414, 2.751, 4015, 3.236, 3449.874, *
2022-04-06 13:13:18, 0, 0.000, 4016, 3.236, 727, 58.6, 3413, 2.750, 4016, 3.236, 3450.725, *
2022-04-06 13:13:23, 0, 0.000, 4021, 3.240, 727, 58.6, 3411, 2.749, 4021, 3.240, 3454.978, *
2022-04-06 13:13:28, 0, 0.000, 4016, 3.236, 726, 58.5, 3396, 2.737, 4016, 3.236, 3450.725, *
2022-04-06 13:13:33, 0, 0.000, 4011, 3.232, 729, 58.7, 3389, 2.731, 4011, 3.232, 3446.471, *
2022-04-06 13:13:38, 0, 0.000, 4011, 3.232, 728, 58.7, 3372, 2.717, 4011, 3.232, 3446.471, *
2022-04-06 13:13:43, 0, 0.000, 3856, 3.107, 726, 58.5, 3162, 2.548, 3856, 3.107, 3314.613
2022-04-06 13:13:48, 0, 0.000, 4002, 3.225, 731, 58.9, 3310, 2.667, 4002, 3.225, 3438.815, *
2022-04-06 13:13:53, 0, 0.000, 4032, 3.249, 729, 58.7, 3077, 2.480, 4032, 3.249, 3464.336, *
2022-04-06 13:13:58, 0, 0.000, 4012, 3.233, 731, 58.9, 3310, 2.667, 4012, 3.233, 3447.322, *
2022-04-06 13:14:03, 0, 0.000, 3797, 3.060, 730, 58.8, 3308, 2.666, 3797, 3.060, 3264.421
2022-04-06 13:14:08, 41, 0.033, 67, 0.054, 732, 59.0, 3303, 2.662, 26, 0.021, 56.425, *
2022-04-06 13:14:13, 66, 0.053, 494, 0.398, 729, 58.7, 3173, 2.557, 428, 0.345, 398.407
2022-04-06 13:14:18, 54, 0.044, 216, 0.174, 734, 59.2, 3260, 2.627, 162, 0.131, 172.120
2022-04-06 13:14:23, 0, 0.000, 171, 0.138, 734, 59.2, 3293, 2.654, 171, 0.138, 179.776
